132
L00087,U00007,LOGOUT,2019-12-01T17:14:01.495281Z
L00088,U00007,LOGIN,2019-12-01T17:15:08.007834Z
L00089,U00007,LOGOUT,2019-12-01T17:15:59.885572Z
L00090,U00007,LOGIN,2019-12-01T17:16:44.899979Z
L00091,U00007,LOGOUT,2019-12-01T17:17:58.787476Z
L00092,U00007,LOGIN,2019-12-01T17:19:37.906227Z
L00093,U00007,LOGOUT,2019-12-01T17:19:59.176595Z
L00094,U00007,LOGIN,2019-12-01T17:20:46.047843Z
L00095,U00007,LOGOUT,2019-12-01T17:21:01.212221Z
L00096,U00006,LOGIN,2019-12-15T03:54:38.009095Z
L00097,U00006,LOGOUT,2019-12-15T03:54:53.575809Z
L00098,U00006,LOGIN,2019-12-15T03:57:28.208295Z
L00099,U00006,LOGOUT,2019-12-15T03:57:58.538136Z
L00100,U00005,LOGIN,2019-12-15T04:08:34.296558Z
L00101,U00005,LOGOUT,2019-12-15T04:09:22.307649Z
L00102,U00005,LOGIN,2019-12-15T04:16:38.618227Z
L00103,U00005,LOGOUT,2019-12-15T04:32:41.189563Z
L00104,U00006,LOGIN,2019-12-15T04:32:46.172810Z
L00105,U00006,LOGOUT,2019-12-15T04:49:40.034310Z
L00106,U00007,LOGIN,2019-12-15T04:58:54.664945Z
L00107,U00007,LOGOUT,2019-12-15T04:59:29.965719Z
L00108,U00007,LOGIN,2019-12-15T05:00:30.740231Z
L00109,U00007,LOGOUT,2019-12-15T05:00:53.965195Z
L00110,U00007,LOGIN,2019-12-15T05:01:17.127180Z
L00111,U00007,LOGOUT,2019-12-15T05:02:57.650946Z
L00112,U00006,LOGIN,2019-12-15T10:58:23.440452Z
L00113,U00006,LOGOUT,2019-12-15T11:00:08.135255Z
L00114,U00006,LOGIN,2019-12-15T11:02:15.972192Z
L00115,U00006,LOGOUT,2019-12-16T03:23:38.414068Z
L00116,U00005,LOGIN,2019-12-16T03:23:57.418761Z
L00117,U00005,LOGOUT,2019-12-16T04:16:53.889807Z
L00118,U00005,LOGIN,2019-12-16T04:16:58.935502Z
L00119,U00005,LOGOUT,2019-12-16T04:17:02.384360Z
L00120,U00006,LOGIN,2019-12-16T04:17:07.448743Z
L00121,U00006,LOGOUT,2019-12-16T04:18:52.975347Z
L00122,U00006,LOGIN,2019-12-16T04:43:37.065959Z
L00123,U00006,LOGOUT,2019-12-16T04:43:44.775714Z
L00124,U00006,LOGIN,2019-12-16T06:08:22.515929Z
L00125,U00006,LOGOUT,2019-12-16T06:11:57.662049Z
L00126,U00008,LOGIN,2019-12-16T06:12:32.090184Z
L00127,U00008,LOGOUT,2019-12-16T06:14:07.408521Z
L00128,U00009,LOGIN,2019-12-16T06:14:16.362779Z
L00129,U00009,LOGOUT,2019-12-16T06:18:14.943220Z
L00130,U00008,LOGIN,2019-12-16T06:18:18.917838Z
L00131,U00008,LOGOUT,2019-12-16T06:33:01.806787Z
